コード,銘柄名,市場,現在値,前日比(%),入力CSV,配当利回り(予)(%),時価総額(百万円),PBR(株価純資産倍率)(倍),ROE(自己資本利益率)(%),自己資本比率(%),PER(株価収益率)(予)(倍),売上高成長率(予)(%),経常利益成長率(予)(%),過去3年平均売上高成長率(予)(%),経常利益変化率(%)
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,東G,4120,+5.0(+0.12%),8274.csv,,,,,,43.10,47.96,58.99,50.38,
1384,ホクリヨウ,東S,2181,-14.0(-0.64%),8271.csv,3.76,"18,449",,,,,,,,
1414,ショーボンドＨＬＤＧ,東P,1280.5,+7.5(+0.59%),8271.csv,3.64,"280,405",,,,,,,,
1419,タマホーム,東P,3060,-5.0(-0.16%),8271.csv,4.08,"90,135",,,,,,,,
1436,グリーンエナジー＆カンパニー,東G,1581,+19.0(+1.22%),8274.csv,,,,,,21.72,19.84,45.77,37.62,
1605,ＩＮＰＥＸ,東P,3837.0,-41.0(-1.06%),8273.csv,,"4,831,305",0.94,8.20,61.37,9.65,,,,
1662,石油資源開発,東P,1818,-51.0(-2.73%),8271.csv / 8273.csv,3.10,"467,227",0.74,9.20,72.76,6.34,,,,
1717,明豊ファシリティワークス,東S,960,+4.0(+0.42%),8271.csv,4.58,"12,265",,,,,,,,
1719,安藤・間,東P,1932.5,+28.5(+1.50%),8271.csv,4.54,"349,823",,,,,,,,
1720,東急建設,東P,1172,+10.0(+0.86%),8271.csv,3.63,"125,124",,,,,,,,
1762,高松コンストラクショングループ,東P,4050,+55.0(+1.38%),8271.csv,3.73,"141,015",,,,,,,,
1786,オリエンタル白石,東P,362,+3.0(+0.84%),8271.csv,4.01,"50,249",,,,,,,,
1801,大成建設,東P,12815.0,+10.0(+0.08%),8275.csv,,"2,091,227",,18.70,,,,5.91,6.01,45.55
1802,大林組,東P,2973.0,-38.0(-1.26%),8271.csv,3.19,"2,056,755",,,,,,,,
1803,清水建設,東P,2393.5,+9.0(+0.38%),8271.csv / 8275.csv,3.40,"1,715,396",,13.80,,,,42.44,8.58,70.69
1808,長谷工コーポレーション,東P,2857.5,-9.5(-0.33%),8271.csv / 8275.csv,3.64,"835,761",,10.00,,,,16.71,8.16,12.76
1812,鹿島建設,東P,4829.0,-6.0(-0.12%),8271.csv,3.30,"2,552,880",,,,,,,,
1813,不動テトラ,東P,2882,+13.0(+0.45%),8271.csv,3.99,"47,523",,,,,,,,
1820,西松建設,東P,5578.0,+41.0(+0.74%),8271.csv,4.47,"233,113",,,,,,,,
1835,東鉄工業,東P,4020,+35.0(+0.88%),8271.csv,3.83,"145,122",,,,,,,,
1860,戸田建設,東P,1520.0,+5.0(+0.33%),8271.csv,3.73,"483,369",,,,,,,,
1861,熊谷組,東P,1304,+4.0(+0.31%),8271.csv,4.03,"225,777",,,,,,,,
1870,矢作建設工業,東P,2181,+28.0(+1.30%),8271.csv,5.04,"97,289",,,,,,,,
1878,大東建託,東P,3357.0,+26.0(+0.78%),8271.csv,4.97,"1,156,805",,,,,,,,
1885,東亜建設工業,東P,2105,+24.0(+1.15%),8271.csv,4.16,"185,195",,,,,,,,
1893,五洋建設,東P,1448.5,+15.0(+1.05%),8271.csv,3.52,"414,291",,,,,,,,
1911,住友林業,東P,1347.0,+6.0(+0.45%),8271.csv,3.71,"833,209",,,,,,,,
